Table 130-06605A : Domestic households by household size and monthly household income (excluding foreign domestic helpers),,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
Household size (1),Household size (1),Household size (1),1,1,2,2,3,3,4,4,5 and over,5 and over,5 and over,5 and over,5 and over,5 and over,Overall,Overall
Household size (1),Household size (1),Household size (1),,,,,,,,,5,5,6 and over,6 and over,Sub-total,Sub-total,,
 , , ,Domestic households (excluding foreign domestic helpers) (2),Domestic households (excluding foreign domestic helpers) (2),Domestic households (excluding foreign domestic helpers) (2),Domestic households (excluding foreign domestic helpers) (2),Domestic households (excluding foreign domestic helpers) (2),Domestic households (excluding foreign domestic helpers) (2),Domestic households (excluding foreign domestic helpers) (2),Domestic households (excluding foreign domestic helpers) (2),Domestic households (excluding foreign domestic helpers) (2),Domestic households (excluding foreign domestic helpers) (2),Domestic households (excluding foreign domestic helpers) (2),Domestic households (excluding foreign domestic helpers) (2),Domestic households (excluding foreign domestic helpers) (2),Domestic households (excluding foreign domestic helpers) (2),Domestic households (excluding foreign domestic helpers) (2),Domestic households (excluding foreign domestic helpers) (2)
,,,No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%)
Year,Quarter,Monthly domestic household income range (3) (4),,,,,,,,,,,,,,,,
1994,,"20,000 - 24,999",11.2,4.9,29.6,9.3,39.1,10.9,56.9,13.0,35.8,15.1,22.5,15.2,58.3,15.2,195.1,11.3
1994,,"25,000 - 29,999",4.9,2.1,17.3,5.4,22.8,6.3,30.3,7.0,23.4,9.9,18.7,12.6,42.0,10.9,117.4,6.8
1994,,"30,000 - 34,999",4.7,2.1,12.6,3.9,17.0,4.7,22.0,5.0,14.9,6.3,14.9,10.1,29.8,7.7,86.0,5.0
1994,,"35,000 - 39,999",2.2,1.0,6.8,2.1,9.7,2.7,12.2,2.8,9.5,4.0,8.5,5.8,18.0,4.7,49.0,2.8
1994,,"40,000 - 44,999",2.3,1.0,7.1,2.2,8.0,2.2,10.2,2.3,5.8,2.5,6.8,4.6,12.6,3.3,40.2,2.3
1994,,"45,000 - 49,999",1.0,0.5,4.0,1.2,5.3,1.5,5.3,1.2,3.6,1.5,4.4,3.0,8.0,2.1,23.5,1.4
1994,,"50,000 - 59,999",2.4,1.1,7.1,2.2,7.4,2.1,9.1,2.1,3.6,1.5,4.9,3.3,8.4,2.2,34.5,2.0
1994,,"60,000 - 79,999",2.2,1.0,7.8,2.5,7.2,2.0,7.8,1.8,3.2,1.4,3.5,2.4,6.8,1.8,31.7,1.8
1994,,"≥ 80,000",2.3,1.0,8.4,2.6,7.2,2.0,8.2,1.9,2.8,1.2,2.4,1.6,5.2,1.4,31.2,1.8
1994,,"     80,000 - 99,999",0.8,0.3,2.8,0.9,3.3,0.9,3.6,0.8,1.3,0.6,1.1,0.7,2.4,0.6,12.9,0.7
1994,,"     ≥ 100,000",1.5,0.7,5.5,1.7,3.9,1.1,4.6,1.1,1.5,0.6,1.3,0.9,2.8,0.7,18.3,1.1
1994,,Total,228.2,100.0,319.9,100.0,360.7,100.0,435.8,100.0,236.6,100.0,147.9,100.0,384.5,100.0,1729.1,100.0
1995,,"< 8,000",116.3,49.5,82.6,24.9,38.0,10.1,31.2,6.8,13.8,5.7,4.2,3.1,18.0,4.8,286.1,16.0
1995,,"     < 4,000",60.8,25.9,26.0,7.8,3.8,1.0,1.6,0.3,0.7,0.3,0.3,0.2,1.0,0.3,93.2,5.2
1995,,"     4,000 - 5,999",25.2,10.7,25.2,7.6,10.2,2.7,5.5,1.2,2.4,1.0,0.6,0.4,3.0,0.8,69.0,3.9
1995,,"     6,000 - 7,999",30.2,12.9,31.4,9.5,24.1,6.4,24.2,5.2,10.7,4.4,3.3,2.4,14.0,3.7,123.9,6.9
1995,,"8,000 - 9,999",26.0,11.1,33.0,9.9,38.2,10.1,46.0,10.0,20.9,8.7,7.7,5.6,28.6,7.6,171.7,9.6
1995,,"10,000 - 14,999",32.5,13.9,55.0,16.6,82.7,21.9,106.5,23.1,51.6,21.4,19.9,14.5,71.4,18.9,348.1,19.5
1995,,"15,000 - 19,999",19.1,8.1,42.2,12.7,66.4,17.6,82.5,17.9,40.9,17.0,20.7,15.1,61.6,16.3,271.8,15.2
1995,,"20,000 - 24,999",12.6,5.4,29.8,9.0,45.3,12.0,61.3,13.3,34.9,14.5,17.7,12.9,52.6,13.9,201.7,11.3
1995,,"25,000 - 29,999",6.4,2.7,19.9,6.0,26.7,7.1,36.3,7.9,24.7,10.2,16.3,11.9,41.0,10.8,130.3,7.3
1995,,"30,000 - 34,999",5.7,2.4,16.2,4.9,20.3,5.4,27.1,5.9,16.0,6.7,14.6,10.7,30.7,8.1,100.1,5.6
